Feature,Importance Mean,Importance Std
tenure,0.08357534688609226,0.007100897413573856
contract_Two year,0.06539206195546948,0.003361230503758866
contract_One year,0.06495643756050337,0.0026137463697967016
monthlycharges,0.039432074862858976,0.005974985203925543
gender_Male,0.03673765730880926,0.0038870119095670602
paymentmethod_Credit card (automatic),0.034478864149725695,0.00365150966610157
internetservice_No,0.03217166828009033,0.002347184910476715
paperlessbilling_No,0.03171990964827361,0.0038736955335198875
paymentmethod_Mailed check,0.031252016779606304,0.003032249432597813
contract_Month-to-month,0.030913197805743753,0.003988910679629956
gender_Female,0.0275088738302678,0.004219804701946895
paymentmethod_Bank transfer (automatic),0.026605356566634365,0.002652549011921383
dependents_Yes,0.026218134882220034,0.0044661537707861906
multiplelines_No,0.025153275250080643,0.004160913017516827
partner_Yes,0.02350758309131976,0.0032749321492431802
techsupport_Yes,0.02174895127460469,0.0026685461973585513
onlinesecurity_Yes,0.018764117457244246,0.003979011609639316
partner_No,0.017973539851565003,0.0039098153118866255
dependents_No,0.017344304614391716,0.00342277862442139
paymentmethod_Electronic check,0.014924169086802167,0.003137061618901932
